Using FROZEN split (never recomputed): {"train": ["S1", "S10", "S11", "S12", "S15", "S3", "S4", "S6", "S7", "S8"], "val": ["S13", "S5"], "test": ["S14", "S2", "S9"]}
train windows: 42631 | val windows: 9214 | test windows: 12852
HR normalization (frozen, matches original): mean=86.344666 std=21.048254

=== seed 42: training model_a_ppg_only ===
  epoch  5/20 - train loss 0.1080 | val MAE 10.534 bpm
  epoch  6/20 - train loss 0.1039 | val MAE 12.710 bpm
  epoch  7/20 - train loss 0.0963 | val MAE 14.891 bpm
  epoch  8/20 - train loss 0.0903 | val MAE 11.920 bpm
  epoch  9/20 - train loss 0.0848 | val MAE 11.993 bpm
  epoch 10/20 - train loss 0.0788 | val MAE 13.604 bpm
  epoch 11/20 - train loss 0.0757 | val MAE 12.525 bpm
  epoch 12/20 - train loss 0.0718 | val MAE 9.921 bpm
  epoch 13/20 - train loss 0.0713 | val MAE 10.660 bpm
  epoch 14/20 - train loss 0.0682 | val MAE 12.357 bpm
  epoch 15/20 - train loss 0.0668 | val MAE 11.096 bpm
  epoch 16/20 - train loss 0.0619 | val MAE 12.196 bpm
  epoch 17/20 - train loss 0.0629 | val MAE 11.375 bpm
  epoch 18/20 - train loss 0.0610 | val MAE 12.217 bpm
  epoch 19/20 - train loss 0.0624 | val MAE 10.006 bpm
  epoch 20/20 - train loss 0.0585 | val MAE 11.206 bpm
seed 44 model_b_ppg_plus_imu: held-out MAE 7.2821 bpm, RMSE 10.9395 bpm (341.1s)

=== seed 44: training model_c_ppg_plus_shuffled_imu ===
  epoch  1/20 - train loss 0.3237 | val MAE 11.981 bpm
  epoch  2/20 - train loss 0.2273 | val MAE 9.388 bpm
  epoch  3/20 - train loss 0.1952 | val MAE 9.058 bpm
  epoch  4/20 - train loss 0.1816 | val MAE 10.322 bpm
  epoch  5/20 - train loss 0.1711 | val MAE 7.835 bpm
  epoch  6/20 - train loss 0.1625 | val MAE 8.553 bpm
  epoch  7/20 - train loss 0.1570 | val MAE 8.944 bpm
  epoch  8/20 - train loss 0.1510 | val MAE 9.020 bpm
  epoch  9/20 - train loss 0.1419 | val MAE 9.478 bpm
  epoch 10/20 - train loss 0.1369 | val MAE 8.734 bpm
  epoch 11/20 - train loss 0.1304 | val MAE 8.079 bpm
  epoch 12/20 - train loss 0.1266 | val MAE 7.859 bpm
  epoch 13/20 - train loss 0.1220 | val MAE 8.625 bpm
  epoch 14/20 - train loss 0.1203 | val MAE 8.504 bpm
  epoch 15/20 - train loss 0.1158 | val MAE 7.802 bpm
  epoch 16/20 - train loss 0.1111 | val MAE 8.586 bpm
  epoch 17/20 - train loss 0.1075 | val MAE 7.409 bpm
  epoch 18/20 - train loss 0.1075 | val MAE 7.987 bpm
  epoch 19/20 - train loss 0.1042 | val MAE 7.600 bpm
  epoch 20/20 - train loss 0.0985 | val MAE 7.480 bpm
seed 44 model_c_ppg_plus_shuffled_imu: held-out MAE 8.1429 bpm, RMSE 12.0226 bpm (351.7s)

=== seed 45: training model_a_ppg_only ===
  epoch  1/20 - train loss 0.3538 | val MAE 12.976 bpm
  epoch  2/20 - train loss 0.2860 | val MAE 11.994 bpm
  epoch  3/20 - train loss 0.2697 | val MAE 10.886 bpm
  epoch  4/20 - train loss 0.2586 | val MAE 13.092 bpm
  epoch  5/20 - train loss 0.2509 | val MAE 10.479 bpm
  epoch  6/20 - train loss 0.2448 | val MAE 10.845 bpm
  epoch  7/20 - train loss 0.2392 | val MAE 11.143 bpm
  epoch  8/20 - train loss 0.2334 | val MAE 10.998 bpm
  epoch  9/20 - train loss 0.2282 | val MAE 10.834 bpm
  epoch 10/20 - train loss 0.2225 | val MAE 11.794 bpm
  epoch 11/20 - train loss 0.2218 | val MAE 11.513 bpm
  epoch 12/20 - train loss 0.2166 | val MAE 10.648 bpm
  epoch 13/20 - train loss 0.2144 | val MAE 11.214 bpm
  epoch 14/20 - train loss 0.2121 | val MAE 10.928 bpm
  epoch 15/20 - train loss 0.2083 | val MAE 12.920 bpm
  epoch 16/20 - train loss 0.2064 | val MAE 11.169 bpm
  epoch 17/20 - train loss 0.2041 | val MAE 11.540 bpm
  epoch 18/20 - train loss 0.2011 | val MAE 11.186 bpm
  epoch 19/20 - train loss 0.1996 | val MAE 10.661 bpm
  epoch 20/20 - train loss 0.1978 | val MAE 10.361 bpm
seed 45 model_a_ppg_only: held-out MAE 8.8112 bpm, RMSE 12.1367 bpm (176.7s)

=== seed 45: training model_b_ppg_plus_imu ===
  epoch  1/20 - train loss 0.2811 | val MAE 15.591 bpm
  epoch  2/20 - train loss 0.1774 | val MAE 11.553 bpm
  epoch  3/20 - train loss 0.1434 | val MAE 11.093 bpm
  epoch  4/20 - train loss 0.1241 | val MAE 12.328 bpm
  epoch  5/20 - train loss 0.1123 | val MAE 9.488 bpm
  epoch  6/20 - train loss 0.1085 | val MAE 10.507 bpm
  epoch  7/20 - train loss 0.0974 | val MAE 12.579 bpm
  epoch  8/20 - train loss 0.0903 | val MAE 11.631 bpm
  epoch  9/20 - train loss 0.0831 | val MAE 12.462 bpm
  epoch 10/20 - train loss 0.0818 | val MAE 9.434 bpm
  epoch 11/20 - train loss 0.0794 | val MAE 10.664 bpm
  epoch 12/20 - train loss 0.0740 | val MAE 10.134 bpm
  epoch 13/20 - train loss 0.0740 | val MAE 9.198 bpm
  epoch 14/20 - train loss 0.0677 | val MAE 10.615 bpm
  epoch 15/20 - train loss 0.0673 | val MAE 10.720 bpm
  epoch 16/20 - train loss 0.0662 | val MAE 11.184 bpm
  epoch 17/20 - train loss 0.0672 | val MAE 10.309 bpm
  epoch 18/20 - train loss 0.0599 | val MAE 10.733 bpm
  epoch 19/20 - train loss 0.0567 | val MAE 10.091 bpm
  epoch 20/20 - train loss 0.0588 | val MAE 9.289 bpm
seed 45 model_b_ppg_plus_imu: held-out MAE 7.1661 bpm, RMSE 10.8241 bpm (348.0s)

=== seed 45: training model_c_ppg_plus_shuffled_imu ===
  epoch  1/20 - train loss 0.3328 | val MAE 12.783 bpm
  epoch  2/20 - train loss 0.2311 | val MAE 9.464 bpm
  epoch  3/20 - train loss 0.1992 | val MAE 10.356 bpm
  epoch  4/20 - train loss 0.1830 | val MAE 9.537 bpm
  epoch  5/20 - train loss 0.1736 | val MAE 6.996 bpm
  epoch  6/20 - train loss 0.1665 | val MAE 10.134 bpm
  epoch  7/20 - train loss 0.1569 | val MAE 10.252 bpm
  epoch  8/20 - train loss 0.1496 | val MAE 9.448 bpm
  epoch  9/20 - train loss 0.1408 | val MAE 9.475 bpm
  epoch 10/20 - train loss 0.1362 | val MAE 7.576 bpm
  epoch 11/20 - train loss 0.1332 | val MAE 8.054 bpm
  epoch 12/20 - train loss 0.1260 | val MAE 7.932 bpm
  epoch 13/20 - train loss 0.1231 | val MAE 7.199 bpm
  epoch 14/20 - train loss 0.1151 | val MAE 8.378 bpm
  epoch 15/20 - train loss 0.1140 | val MAE 9.231 bpm
  epoch 16/20 - train loss 0.1108 | val MAE 9.442 bpm
  epoch 17/20 - train loss 0.1070 | val MAE 7.434 bpm
  epoch 18/20 - train loss 0.1063 | val MAE 8.469 bpm
  epoch 19/20 - train loss 0.0995 | val MAE 7.941 bpm
  epoch 20/20 - train loss 0.0969 | val MAE 9.328 bpm
seed 45 model_c_ppg_plus_shuffled_imu: held-out MAE 7.6419 bpm, RMSE 11.7372 bpm (341.9s)

=== seed 46: training model_a_ppg_only ===
  epoch  1/20 - train loss 0.3457 | val MAE 13.284 bpm
  epoch  2/20 - train loss 0.2830 | val MAE 11.464 bpm
  epoch  3/20 - train loss 0.2654 | val MAE 11.561 bpm
  epoch  4/20 - train loss 0.2559 | val MAE 11.497 bpm
  epoch  5/20 - train loss 0.2468 | val MAE 11.236 bpm
  epoch  6/20 - train loss 0.2413 | val MAE 12.203 bpm
  epoch  7/20 - train loss 0.2348 | val MAE 12.224 bpm
